7.01,0.27,3.77;
-0.61,0.59,3.71;
-8.18,1.30,1.42;
-13.58,2.51,0.32;
-16.58,2.69,1.05;
-19.54,3.44,0.28;
-15.64,2.94,-0.24;
-10.64,3.09,1.24;
-7.54,6.17,2.75;
-9.46,5.50,1.85;
-15.34,5.29,-0.92;
-20.58,4.78,-2.90;
-20.00,4.27,-4.75;
-15.93,6.04,-8.03;
-7.80,7.58,-9.19;
-3.69,9.21,-7.40;
-1.54,8.22,-3.98;
-7.72,8.57,-3.77;
-13.69,6.10,-6.52;
-13.55,6.83,-7.42;
-13.39,5.04,-7.54;
-15.68,2.51,-4.37;
-11.83,1.52,0.03;
-5.52,0.60,1.12;
0.34,2.13,0.53;
6.16,2.72,0.75;
6.77,1.84,1.65;
0.57,1.53,1.89;
-4.61,-0.56,2.83;
-6.85,-3.40,2.38;
-8.12,-2.28,3.57;
-10.19,0.37,3.41;
0.14,-0.68,2.46;
10.10,-3.20,1.47;
12.17,-4.02,1.33;
6.69,-2.31,2.79;
-0.73,-1.12,2.03;
-3.23,-2.31,2.37;
-7.23,-2.73,3.77;
-10.55,-0.48,3.31;
-11.06,1.44,2.06;
-7.77,3.55,2.67;
1.56,0.37,7.44;
3.06,-2.83,10.11;
-2.48,-3.55,8.61;
-3.57,-3.75,3.19;
-7.40,-4.96,0.47;
-12.06,-6.62,1.82;
-5.26,-7.19,5.86;
2.45,-4.54,7.82;
7.44,-2.24,6.89;
9.76,-1.90,4.58;
4.60,-0.56,4.86;
-5.66,1.17,6.57;
-16.30,0.97,7.82;
-19.89,-0.96,5.62;
-19.51,-4.25,3.42;
-14.51,-5.73,4.18;
-2.58,-4.35,4.28;
11.00,-4.22,0.67;
19.27,-3.19,-1.14;
23.50,-4.47,-1.30;
18.43,-5.54,1.83;
11.84,-6.22,3.36;
1.45,-6.50,1.13;
-7.26,-5.67,-1.39;
-6.76,-4.04,-2.14;
0.57,-4.02,-1.04;
4.81,-3.26,-0.84;
8.97,-4.02,0.00;
8.31,-5.19,0.67;
7.21,-7.34,-0.09;
6.66,-5.93,-2.50;
10.07,-3.37,-5.42;
12.17,-3.48,-7.62;
10.20,-5.44,-4.40;
8.92,-8.68,-0.32;
9.76,-8.42,2.70;
11.30,-5.12,1.85;
